Responses to the BICS survey broken down by industry,,,,,,Proportion of responses to the BICS survey broken down by industry,,,,
,,,,,,,,,,
,Number of Responses,,,,,,Proportion of Responses,,,
Industry,Workforce Size < 250,Workforce Size 250 +,Total,,,Industry,Workforce Size < 250,Workforce Size 250 +,Total,
Manufacturing,648,449,1097,,,Manufacturing,36.30%,32.80%,34.80%,
"Water Supply, Sewerage, Waste Management And Remediation Activities",50,20,70,,,"Water Supply, Sewerage, Waste Management And Remediation Activities",38.50%,28.20%,34.80%,
Construction,208,76,284,,,Construction,28.80%,24.40%,217.50%,
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,686,344,1030,,,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,37.70%,29.20%,34.30%,
Accommodation And Food Service Activities,321,195,516,,,Accommodation And Food Service Activities,32.90%,29.60%,31.60%,
Transportation And Storage,193,89,282,,,Transportation And Storage,36.60%,26.60%,32.70%,
Information And Communication,297,121,418,,,Information And Communication,37.40%,28.70%,34.40%,
"Professional, Scientific And Technical Activities",468,265,733,,,"Professional, Scientific And Technical Activities",35.90%,36.80%,36.20%,
Administrative And Support Service Activities,453,361,814,,,Administrative And Support Service Activities,35.20%,33.70%,34.50%,
Education,127,191,318,,,Education,41.90%,41.80%,41.80%,
Human Health And Social Work Activities,85,59,144,,,Human Health And Social Work Activities,58.60%,39.60%,49.00%,
"Arts, Entertainment And Recreation",180,98,278,,,"Arts, Entertainment And Recreation",43.40%,32.30%,38.70%,
All Industries,3809,2305,6114,,,All Industries,36.50%,32.10%,34.70%,
,,,,,,,,,,
Notes:,,,,,,,,,,
"Real Estate Services, Other Services and Mining and Quarrying have been removed due to their low response rate, but their totals are included in ‘All Industries’. ",,,,,,,,,,
Responses can be different for different questions depending on the routing the questions in the survey.,,,,,,,,,,
Rows will not sum to 100% as the response proportions are calculated from each workforce size band,,,,,,,,,,
Proportion rounded to one decimal place,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Responses to the BICS survey broken down by workforce size,,,,,,Proportion of responses to the BICS survey broken down by workforce size,,,,
,,,,,,,,,,
,Number of Responses,,,,,,Proportion of Responses,,,
Industry,Workforce Size 0 - 99,Workforce Size 100 - 249,Workforce Size 250 +,Total,,Industry,Workforce Size 0 - 99,Workforce Size 100 - 249,Workforce Size 250 +,Total
All Industries,357,3452,2305,6114,,All Industries,26.90%,37.90%,32.10%,34.70%
,,,,,,,,,,
Note:,,,,,,,,,,
Rows will not sum to 100% as the response proportions are calculated from each workforce size band,,,,,,,,,,
Proportion rounded to one decimal place,,,,,,,,,,
